任务,特征方案,模型,split,target,r2,rmse,mae
任务1_品质预测,R210+S960双光谱,XGBoost回归,验证集,titration_VC,0.3493980561560902,7.167405011314877,5.361859034181722
任务1_品质预测,R210+S960双光谱,XGBoost回归,验证集,titration_糖度,0.49667594219652655,1.0893072620285982,0.8266216150919596
任务1_品质预测,R210+S960双光谱,XGBoost回归,验证集,titration_糖酸比,0.34169235051336777,3.0283573557479677,2.4713336938943327
任务1_品质预测,R210+S960双光谱,XGBoost回归,验证集,titration_酸度,-0.11648569865908875,0.12850174873985723,0.09909805893898008
任务1_品质预测,R210+S960双光谱,岭回归,测试集,titration_VC,0.35067268153362074,5.88832903225757,4.425704129252239
任务1_品质预测,R210+S960双光谱,岭回归,测试集,titration_糖度,0.7050867045906144,0.8070733658952111,0.6352899860982971
任务1_品质预测,R210+S960双光谱,岭回归,测试集,titration_糖酸比,0.3207421119977907,3.065619502537832,2.606923369525042
任务1_品质预测,R210+S960双光谱,岭回归,测试集,titration_酸度,-0.01347150029143096,0.1305150397809513,0.09948878381123025
任务1_品质预测,R210+S960双光谱,岭回归,验证集,titration_VC,0.4622696347321874,6.5160821132954725,4.430183680718628
任务1_品质预测,R210+S960双光谱,岭回归,验证集,titration_糖度,0.6693202814906007,0.8829382551523839,0.6726997730028971
任务1_品质预测,R210+S960双光谱,岭回归,验证集,titration_糖酸比,0.36207358056341554,2.981109753795884,2.5383456672183935
任务1_品质预测,R210+S960双光谱,岭回归,验证集,titration_酸度,0.029509897728036694,0.1198058461861054,0.09901405145600521
任务1_品质预测,R210+S960双光谱,弹性网络,测试集,titration_VC,-0.2747998384434136,8.250518306751111,6.1409386256827805
任务1_品质预测,R210+S960双光谱,弹性网络,测试集,titration_糖度,0.38741792948165565,1.1631828227746008,0.9317663369269876
任务1_品质预测,R210+S960双光谱,弹性网络,测试集,titration_糖酸比,-0.42887899083767844,4.446298652786869,3.7587356707237274
任务1_品质预测,R210+S960双光谱,弹性网络,测试集,titration_酸度,-0.25102383307346887,0.1450065371986401,0.11217631175838022
任务1_品质预测,R210+S960双光谱,弹性网络,验证集,titration_VC,0.026342003001550873,8.768140198396688,6.795899499035348
任务1_品质预测,R210+S960双光谱,弹性网络,验证集,titration_糖度,0.24988920923340463,1.3298089784797038,1.035354414957073
任务1_品质预测,R210+S960双光谱,弹性网络,验证集,titration_糖酸比,-0.21096983124037005,4.107327501044802,3.2992951325356743
任务1_品质预测,R210+S960双光谱,弹性网络,验证集,titration_酸度,-0.16802628198649305,0.13143431412641918,0.11085169033616085
任务1_品质预测,R210+S960双光谱,极端随机树回归,测试集,titration_VC,0.3175709754785292,6.036552432516,4.469946672916674
任务1_品质预测,R210+S960双光谱,极端随机树回归,测试集,titration_糖度,0.6000133004620984,0.9399150737345016,0.7324583333333333
任务1_品质预测,R210+S960双光谱,极端随机树回归,测试集,titration_糖酸比,0.15437654329850414,3.42049858975628,2.8375665794034406
任务1_品质预测,R210+S960双光谱,极端随机树回归,测试集,titration_酸度,-0.10830262825184844,0.13648470060779708,0.10626833333333335
任务1_品质预测,R210+S960双光谱,极端随机树回归,验证集,titration_VC,0.3412781737295848,7.211992968194648,5.162778890749999
任务1_品质预测,R210+S960双光谱,极端随机树回归,验证集,titration_糖度,0.521996617779311,1.0615538728675054,0.8153166666666662
任务1_品质预测,R210+S960双光谱,极端随机树回归,验证集,titration_糖酸比,0.30030957294808736,3.1220915741349087,2.488399300259203
任务1_品质预测,R210+S960双光谱,极端随机树回归,验证集,titration_酸度,-0.06921108922011232,0.12575179206807877,0.09682749999999997
任务1_品质预测,R210+S960双光谱,随机森林回归,测试集,titration_VC,0.3393446230716398,5.939470359692362,4.367161161000003
任务1_品质预测,R210+S960双光谱,随机森林回归,测试集,titration_糖度,0.596188200501117,0.9443986159632671,0.727308333333334
任务1_品质预测,R210+S960双光谱,随机森林回归,测试集,titration_糖酸比,0.1946969349421357,3.3379557958123094,2.750844223464285
任务1_品质预测,R210+S960双光谱,随机森林回归,测试集,titration_酸度,-0.04394841169500241,0.13246291525052087,0.10194
任务1_品质预测,R210+S960双光谱,随机森林回归,验证集,titration_VC,0.39620171068053245,6.904785743026426,4.935213788916668
任务1_品质预测,R210+S960双光谱,随机森林回归,验证集,titration_糖度,0.5018100288940981,1.083737358634461,0.8090749999999993
任务1_品质预测,R210+S960双光谱,随机森林回归,验证集,titration_糖酸比,0.2937840613807383,3.1366165429309176,2.5741916989642646
任务1_品质预测,R210+S960双光谱,随机森林回归,验证集,titration_酸度,0.00553893707412767,0.12127641413316931,0.09374583333333329
任务1_品质预测,R210单光谱,K近邻回归,测试集,titration_VC,-0.07772093903161781,7.586009684695141,5.376510920610313
任务1_品质预测,R210单光谱,K近邻回归,测试集,titration_糖度,0.033933946614573274,1.4607276507213292,1.2002069802787283
任务1_品质预测,R210单光谱,K近邻回归,测试集,titration_糖酸比,-0.014910650771660539,3.7472684805783127,3.108144557450482
任务1_品质预测,R210单光谱,K近邻回归,测试集,titration_酸度,-0.02220580419434337,0.13107623585321435,0.10409210783424405
任务1_品质预测,R210单光谱,K近邻回归,验证集,titration_VC,0.051041460134767624,8.65621205466064,6.489188296233746
任务1_品质预测,R210单光谱,K近邻回归,验证集,titration_糖度,0.12929008899769745,1.4327265148813966,1.1778627684279128
任务1_品质预测,R210单光谱,K近邻回归,验证集,titration_糖酸比,-0.04937086350659392,3.8234654660954495,3.0999783450515177
任务1_品质预测,R210单光谱,K近邻回归,验证集,titration_酸度,-0.143748557431715,0.1300611936022502,0.10115354544084591
任务1_品质预测,R210单光谱,LightGBM回归,测试集,titration_VC,0.14748563274941595,6.7470058356870535,4.976541672861106
任务1_品质预测,R210单光谱,LightGBM回归,测试集,titration_糖度,0.06992108552068121,1.4332625023175183,1.1439790510629466
任务1_品质预测,R210单光谱,LightGBM回归,测试集,titration_糖酸比,0.014040324122872372,3.6934351816502047,3.0324200734665228
任务1_品质预测,R210单光谱,LightGBM回归,测试集,titration_酸度,0.06478241336383872,0.12537505091438222,0.09891518292833133
任务1_品质预测,R210单光谱,LightGBM回归,验证集,titration_VC,0.23896844940315365,7.751854253683542,6.014194233128311
任务1_品质预测,R210单光谱,LightGBM回归,验证集,titration_糖度,0.13967438848469693,1.424157365279231,1.1406024553323226
任务1_品质预测,R210单光谱,LightGBM回归,验证集,titration_糖酸比,-0.05190973686231848,3.828087964447473,3.114438194509821
任务1_品质预测,R210单光谱,LightGBM回归,验证集,titration_酸度,-0.2956829261800138,0.1384305114974037,0.10304860357641345
任务1_品质预测,R210单光谱,PLS回归,测试集,titration_VC,0.37776062731731264,5.76419914107537,4.358286796927042
任务1_品质预测,R210单光谱,PLS回归,测试集,titration_糖度,0.6558625520864197,0.871829994199665,0.6878414472375518
任务1_品质预测,R210单光谱,PLS回归,测试集,titration_糖酸比,0.36536660931362164,2.9632095469980233,2.371567022649657
任务1_品质预测,R210单光谱,PLS回归,测试集,titration_酸度,0.09202972104441476,0.12353516688018734,0.10003572238891169
任务1_品质预测,R210单光谱,PLS回归,验证集,titration_VC,0.4554515432999021,6.5572619542766,4.601797374910109
任务1_品质预测,R210单光谱,PLS回归,验证集,titration_糖度,0.6332696840491393,0.9298223062856094,0.7158878883839986
任务1_品质预测,R210单光谱,PLS回归,验证集,titration_糖酸比,0.13448832295255864,3.472395117926111,2.6134164121700545
任务1_品质预测,R210单光谱,PLS回归,验证集,titration_酸度,-0.26451034182264865,0.13675513684833882,0.10778756405678967
任务1_品质预测,R210单光谱,SVR回归,测试集,titration_VC,0.0567904435464186,7.096828797904778,5.011958664897215
任务1_品质预测,R210单光谱,SVR回归,测试集,titration_糖度,0.3181447127449456,1.2271903899018444,1.0015543473441664
任务1_品质预测,R210单光谱,SVR回归,测试集,titration_糖酸比,0.08394030552496545,3.560104881696594,2.819930436014386
任务1_品质预测,R210单光谱,SVR回归,测试集,titration_酸度,-0.0467381685831767,0.13263978834800622,0.10594299871207467
任务1_品质预测,R210单光谱,SVR回归,验证集,titration_VC,0.22228066863993934,7.83638410074787,5.63583344433863
任务1_品质预测,R210单光谱,SVR回归,验证集,titration_糖度,0.41747556990582313,1.1718813053319086,0.924726304140375
任务1_品质预测,R210单光谱,SVR回归,验证集,titration_糖酸比,0.11592810513357255,3.5094290227006146,2.8753931469952687
任务1_品质预测,R210单光谱,SVR回归,验证集,titration_酸度,0.09047104610281587,0.11598203382147898,0.08986270216872064
